Paper Title;	Authors
A Contrastive Self-Supervised Learning scheme for beat tracking amenable to few-shot learning	Antonin Gagneré (LTCI - Télécom Paris, IP Paris)*; Slim Essid ( LTCI - Télécom Paris, IP Paris); Geoffroy Peeters (LTCI - Télécom Paris, IP Paris)
A Critical Survey of Research in Music Genre Recognition	Owen Green (Max Planck Institute for Empirical Aesthetics)*; Bob L. T.   Sturm (KTH Royal Institute of Technology); Georgina Born (University College London); Melanie Wald-Fuhrmann (Max Planck Institute for Empirical Aesthetics)
A Kalman Filter model for synchronization in musical ensembles	Hugo T Carvalho (Federal University of Rio de Janeiro)*; Min Susan Li (University of Birmingham); Massimiliano Di Luca (University of Birmingham); Alan M. Wing (University of Birmingham)
A Method for MIDI Velocity Estimation for Piano Performance by a U-Net with Attention and FiLM	Hyon Kim (Universitat Pompeu Fabra)*; Xavier Serra (Universitat Pompeu Fabra )
A New Dataset, Notation Software, and Representation for Computational Schenkerian Analysis	Stephen Hahn (Duke)*; Weihan Xu (duke); Zirui Yin (Duke University); Rico Zhu (Duke University); Simon Mak (Duke University); Yue Jiang (Duke University); Cynthia Rudin (Duke)
A Stem-Agnostic Single-Decoder System for Music Source Separation Beyond Four Stems	Karn N Watcharasupat (Georgia Institute of Technology)*; Alexander Lerch (Georgia Institute of Technology)
Audio Conditioning for Music Generation via Discrete Bottleneck Features	Simon Rouard (Meta AI Research)*; Alexandre Defossez (Kyutai); Yossi Adi (Facebook AI Research ); Jade Copet (Meta AI Research); Axel Roebel (IRCAM)
Audio Prompt Adapter: Unleashing Music Editing Abilities for Text-to-Music with Lightweight Finetuning	Fang Duo Tsai (National Taiwan University)*; Shih-Lun Wu (Carnegie Mellon University); Haven Kim (University of California San Diego); Bo-Yu Chen (National Taiwan University, Rhythm Culture Corporation); Hao-Chung Cheng (National Taiwan University); Yi-Hsuan Yang (National Taiwan University)
Augment, Drop & Swap: Improving Diversity in LLM Captions for Efficient Music-Text Representation Learning	Ilaria Manco (Queen Mary University of London)*; Justin Salamon (Adobe); Oriol Nieto (Adobe)
Automatic Detection of Moral Values in Music Lyrics	Vjosa Preniqi (Queen Mary University of London)*; Iacopo Ghinassi (Queen Mary University of London); Julia Ive (Queen Mary University of London); Kyriaki Kalimeri (ISI Foundation); Charalampos Saitis (Queen Mary University of London)
Automatic Estimation of Singing Voice Musical Dynamics	Jyoti Narang (Student)*; Nazif Can Tamer (Universitat Pompeu Fabra); Viviana De La Vega (Escola Superior de Música de Catalunya); Xavier Serra (Universitat Pompeu Fabra )
Beat this! Accurate beat tracking without DBN postprocessing	Francesco Foscarin (Johannes Kepler University Linz)*; Jan Schlüter (JKU Linz); Gerhard Widmer (Johannes Kepler University)
Between the AI and Me: Analysing Listeners' Perspectives on AI- and Human-Composed Progressive Metal Music	Pedro Pereira Sarmento (Centre for Digital Music); Jackson J Loth (Queen Mary University of London)*; Mathieu Barthet (Queen Mary University of London)
CADENZA: A Generative Framework for Expressive Musical Ideas and Variations	Julian Lenz (Lemonaide ); Anirudh Mani (Lemonaide)*
Can LLMs "Reason" in Music? An Evaluation of LLMs' Capability of Music Understanding and Generation	Ziya Zhou (HKUST)*; Yuhang Wu (Multimodal Art Projection); Zhiyue Wu (Shenzhen University); Xinyue Zhang (Multimodal Art Projection); Ruibin Yuan (CMU); Yinghao MA (Queen Mary University of London); Lu Wang (Shenzhen University); Emmanouil Benetos (Queen Mary University of London); Wei Xue (The Hong Kong University of Science and Technology); Yike Guo (Hong Kong University of Science and Technology)
Classical Guitar Duet Separation using GuitarDuets - a Dataset of Real and Synthesized Guitar Recordings	Marios Glytsos (National Technical University of Athens)*; Christos Garoufis (Athena Research Center); Athanasia Zlatintsi (Athena Research Center); Petros Maragos (National Technical University of Athens)
Cluster and Separate: a GNN Approach to Voice and Staff Prediction for Score Engraving	Francesco Foscarin (Johannes Kepler University Linz)*; Emmanouil Karystinaios (Johannes Kepler University); Eita Nakamura (Kyoto University); Gerhard Widmer (Johannes Kepler University)
Combining audio control and style transfer using latent diffusion	Nils Demerlé (IRCAM)*; Philippe  Esling (IRCAM); Guillaume Doras (Ircam); David Genova (Ircam)
Composer's Assistant 2: Interactive Multi-Track MIDI Infilling with Fine-Grained User Control	Martin E Malandro (Sam Houston State University)*
